section,metric,value
real_world,runs_loaded,0
real_world,total_miles,0
real_world,total_earnings,0
real_world,total_orders,0
real_world,total_hours,0
real_world,total_cost,0
real_world,total_net_profit,0
real_world,pay_per_mile,0.0
real_world,pay_per_order,0.0
real_world,hourly_rate,0.0
real_world,net_hourly_rate,0.0
real_world,cost_per_mile,0.0
chopexpress_simulation,total_orders,120
chopexpress_simulation,approved_orders,118
chopexpress_simulation,rejected_orders,2
chopexpress_simulation,approval_rate,0.9833
chopexpress_simulation,total_offer_pay,2182.89
chopexpress_simulation,total_economic_miles,911.46
chopexpress_simulation,avg_ppem,2.39
chopexpress_simulation,avg_net_profit,14.65
chopexpress_simulation,avg_hourly_rate,42.61
chopexpress_simulation,pay_per_order,18.19
difference,pay_per_mile_diff,2.39
difference,hourly_rate_diff,42.61
difference,pay_per_order_diff,18.19
difference,chop_avg_net_profit_minus_real_net_hourly,14.65
paths,real_data_path,sim\input\real_driving_log.csv
paths,simulation_summary_path,sim\output\latest_console_summary.json
paths,output_json_path,sim\output\dd_comparison_results.json
paths,output_csv_path,sim\output\dd_comparison_results.csv
